co2,co2_growth_abs,share_global_co2,coal_co2,cement_co2,gas_co2,oil_co2,co2_per_capita,coal_co2_per_capita,cement_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,flaring_co2_per_capita,share_global_coal_co2,share_global_cement_co2,share_global_gas_co2,share_global_oil_co2,population,gdp
1710.857,220.557,41.04,1143.798,9.889,108.813,448.356,12.747,8.522,0.074,0.811,3.341,0.093,34.94,25.3,86.66,61.42,134216250.0,1359902403644.4
1789.832,78.976,40.16,1144.951,10.304,120.942,513.635,13.242,8.471,0.076,0.895,3.8,0.106,33.16,25.04,86.01,62.45,135159270.0,1462308683989.6
1513.492,-276.34,36.09,906.794,9.182,115.32,482.196,11.12,6.662,0.068,0.847,3.543,0.119,28.15,23.59,85.09,60.43,136108915.0,1373407807593.6
1667.993,154.501,37.6,1024.988,10.726,124.122,508.158,12.152,7.468,0.078,0.904,3.702,0.149,29.91,29.75,87.8,61.13,137254990.0,1469481111625.9
1871.653,203.66,38.61,1168.882,11.444,133.707,557.62,13.504,8.433,0.083,0.965,4.023,0.162,30.85,36.16,87.07,63.84,138601511.0,1592319812042.4
2039.421,167.768,41.15,1294.762,14.39,141.533,588.735,14.551,9.238,0.103,1.01,4.201,0.167,33.4,33.11,92.23,66.77,140152562.0,1815098662467.4
2194.073,154.652,44.45,1458.597,15.928,153.855,565.693,15.461,10.278,0.112,1.084,3.986,0.189,37.45,41.68,92.66,67.63,141912292.0,2013171028423.2
2267.575,73.502,45.18,1470.803,11.885,171.952,612.936,15.76,10.222,0.083,1.195,4.26,0.245,37.59,34.3,94.01,68.97,143884915.0,2203245442932.8
2440.436,172.861,47.84,1545.85,7.892,186.574,700.12,16.728,10.596,0.054,1.279,4.799,0.266,40.03,35.04,94.42,68.7,145884958.0,2361835523186.4
2355.413,-85.023,55.54,1421.423,8.937,197.676,727.377,15.924,9.61,0.06,1.336,4.918,0.243,47.5,38.97,91.2,72.09,147912803.0,2314667611553.2
2253.295,-102.119,48.67,1298.758,14.415,203.103,737.018,15.025,8.66,0.096,1.354,4.914,0.231,40.22,39.7,90.71,64.61,149968835.0,2103900895010.0
2481.044,227.75,48.4,1449.231,16.385,224.086,791.342,16.317,9.531,0.108,1.474,5.204,0.263,40.12,37.9,90.37,64.75,152053446.0,2070709141273.6
2577.397,96.353,47.76,1433.19,18.096,251.765,874.345,16.718,9.296,0.117,1.633,5.671,0.28,38.49,34.96,89.85,65.22,154167035.0,2168923167816.3
2160.38,-417.017,41.23,1063.102,18.486,265.068,813.723,13.812,6.797,0.118,1.695,5.202,0.265,30.01,31.68,88.19,60.82,156416114.0,2126235565440.0
2536.096,375.716,42.28,1257.232,19.723,319.219,896.801,15.97,7.917,0.124,2.01,5.647,0.272,32.61,29.46,90.36,54.37,158804397.0,2320610040000.0
2612.719,76.624,40.99,1211.599,21.55,376.209,960.662,16.241,7.531,0.134,2.339,5.972,0.265,29.85,28.51,90.36,55.11,160872264.0,2497407750000.0
2545.38,-67.34,39.4,1074.173,21.771,402.787,1000.967,15.59,6.579,0.133,2.467,6.131,0.28,26.8,26.83,90.06,54.43,163266026.0,2590801532000.0
2606.057,60.677,39.24,1065.955,23.062,423.342,1050.079,15.708,6.425,0.139,2.552,6.329,0.263,26.37,25.62,89.18,53.75,165909996.0,2709832728000.0
2483.296,-122.761,36.6,913.446,23.686,444.0,1063.212,14.717,5.414,0.14,2.631,6.301,0.231,22.62,24.22,88.53,51.35,168736390.0,2691885312000.0
2721.023,237.727,36.59,1026.22,26.063,479.193,1147.902,15.849,5.977,0.152,2.791,6.686,0.243,23.48,24.09,87.53,49.61,171685337.0,2882221470000.0
2852.385,131.362,36.02,1068.358,27.822,505.889,1203.787,16.327,6.115,0.159,2.896,6.89,0.266,23.25,23.74,86.1,47.95,174705006.0,2938405491000.0
2828.311,-24.073,34.58,1024.081,26.366,540.645,1193.662,15.912,5.761,0.148,3.042,6.715,0.245,21.89,21.4,83.54,45.49,177751477.0,2993553504000.0
