Date,LandAverageTemperature,LandAndOceanAverageTemperature,Land_MovAvg,LandOcean_MovAvg
1851-12-01,3.14,13.638,8.178583333333334,14.991833333333334
1852-01-01,2.3760000000000003,13.231,8.174,14.990666666666668
1852-02-01,2.54,13.311,8.176666666666666,14.988999999999999
1852-03-01,3.884,13.736,8.151,14.975583333333335
1852-04-01,7.486999999999999,14.786,8.167666666666667,14.98775
1852-05-01,11.169,15.899,8.172333333333334,14.998416666666666
1852-06-01,13.164,16.619,8.151166666666667,15.008666666666668
1852-07-01,14.512,16.984,8.149583333333332,15.021416666666667
1852-08-01,13.304,16.566,8.112333333333334,15.016833333333333
1852-09-01,11.478,16.038,8.09575,15.015166666666666
1852-10-01,8.91,15.178,8.078083333333334,15.01225
1852-11-01,4.593,13.948,8.046416666666667,14.9945
1852-12-01,3.785,13.782,8.100166666666667,15.006499999999997
1853-01-01,1.786,13.143,8.051,14.999166666666667
1853-02-01,2.228,13.362,8.025,15.003416666666668
1853-03-01,4.078,14.033,8.041166666666667,15.028166666666666
1853-04-01,7.540999999999999,14.919,8.045666666666667,15.039250000000001
1853-05-01,10.975,15.793,8.029499999999999,15.030416666666667
1853-06-01,13.41,16.455000000000002,8.05,15.01675
1853-07-01,14.645,16.999000000000002,8.061083333333334,15.017999999999999
1853-08-01,13.953,16.789,8.115166666666667,15.036583333333335
1853-09-01,11.71,15.942,8.1345,15.028583333333335
1853-10-01,8.535,14.874,8.103250000000001,15.003250000000001
1853-11-01,4.783,13.829,8.119083333333332,14.993333333333334
1853-12-01,2.858,13.324000000000002,8.041833333333333,14.955166666666669
1854-01-01,1.281,12.983,7.99975,14.941833333333335
1854-02-01,1.941,13.248,7.975833333333334,14.932333333333332
1854-03-01,4.698,14.089,8.0275,14.937
1854-04-01,7.622000000000001,14.945,8.03425,14.939166666666667
1854-05-01,11.095,15.793,8.04425,14.939166666666667
1854-06-01,12.829,16.285999999999998,7.995833333333334,14.925083333333333
1854-07-01,14.692,16.775000000000002,7.99975,14.906416666666667
1854-08-01,13.889,16.707,7.994416666666666,14.899583333333332
1854-09-01,11.514,16.098,7.978083333333334,14.912583333333332
1854-10-01,9.763,15.378,8.080416666666666,14.954583333333332
1854-11-01,5.745,14.123,8.160583333333333,14.979083333333334
1854-12-01,3.457,13.467,8.210500000000001,14.991
1855-01-01,2.522,13.384,8.313916666666666,15.024416666666667
1855-02-01,2.982,13.646,8.400666666666666,15.057583333333334
1855-03-01,4.617,14.172,8.393916666666668,15.0645
1855-04-01,8.58,15.187,8.47375,15.084666666666665
1855-05-01,11.186,15.822,8.481333333333334,15.087083333333334
1855-06-01,12.984000000000002,16.445,8.49425,15.100333333333333
1855-07-01,13.925999999999998,16.675,8.430416666666668,15.092
1855-08-01,13.547,16.685000000000002,8.401916666666667,15.090166666666669
1855-09-01,11.140999999999998,15.829,8.370833333333332,15.067749999999998
1855-10-01,8.443999999999999,15.075,8.260916666666667,15.042500000000002
1855-11-01,5.186,14.118,8.214333333333334,15.042083333333332
1855-12-01,2.214,13.215,8.110750000000001,15.021083333333335
1856-01-01,2.76,13.368,8.130583333333332,15.01975
1856-02-01,2.226,13.311,8.067583333333333,14.991833333333334
1856-03-01,4.372,13.957,8.047166666666667,14.973916666666668
1856-04-01,7.750999999999999,14.945,7.978083333333333,14.95375
1856-05-01,10.53,15.813,7.923416666666665,14.953000000000001
1856-06-01,13.496,16.492,7.966083333333333,14.956916666666666
1856-07-01,14.019,16.675,7.973833333333332,14.956916666666666
1856-08-01,13.021,16.39,7.93,14.932333333333332
1856-09-01,10.948,15.640999999999998,7.913916666666668,14.916666666666666
1856-10-01,8.087,14.783,7.884166666666666,14.892333333333333
1856-11-01,5.36,13.856,7.898666666666666,14.8705
1856-12-01,3.381,13.321,7.995916666666666,14.879333333333333
1857-01-01,1.821,12.972,7.917666666666666,14.846333333333334
1857-02-01,2.481,13.385000000000002,7.938916666666667,14.8525
1857-03-01,4.312,13.916,7.933916666666668,14.849083333333333
1857-04-01,6.826999999999999,14.481,7.856916666666667,14.810416666666667
1857-05-01,9.885,15.279000000000002,7.803166666666667,14.765916666666667
1857-06-01,12.611,16.175,7.729416666666668,14.7395
1857-07-01,13.953,16.477999999999998,7.723916666666667,14.723083333333333
1857-08-01,13.203,16.459,7.739083333333333,14.728833333333334
1857-09-01,11.056,15.84,7.748083333333333,14.745416666666669
1857-10-01,8.198,14.918,7.757333333333334,14.756666666666666
1857-11-01,5.236000000000001,13.829,7.747,14.754416666666666
1857-12-01,3.515,13.367,7.758166666666667,14.758249999999999
1858-01-01,2.739,13.220999999999998,7.834666666666667,14.778999999999998
1858-02-01,2.2840000000000003,13.29,7.81825,14.771083333333335
1858-03-01,4.834,14.044,7.86175,14.78175
1858-04-01,8.25,14.967,7.980333333333333,14.822250000000002
1858-05-01,10.851,15.541,8.060833333333333,14.844083333333332
1858-06-01,12.956,16.172,8.089583333333334,14.843833333333334
1858-07-01,13.677,16.51,8.066583333333334,14.846499999999999
1858-08-01,13.22,16.489,8.068,14.848999999999998
1858-09-01,11.148,15.833,8.075666666666667,14.848416666666665
1858-10-01,8.809999999999997,15.114,8.126666666666667,14.86475
1858-11-01,5.99,14.134,8.1895,14.890166666666667
1858-12-01,2.444,13.263,8.10025,14.881499999999997
1859-01-01,2.015,13.058,8.039916666666667,14.867916666666668
1859-02-01,2.611,13.33,8.067166666666667,14.871249999999998
1859-03-01,5.023,14.104,8.082916666666668,14.87625
1859-04-01,8.542,15.197,8.10725,14.895416666666668
1859-05-01,11.456,15.868,8.157666666666666,14.922666666666666
1859-06-01,13.142,16.400000000000002,8.173166666666667,14.941666666666668
1859-07-01,13.827,16.494,8.185666666666666,14.940333333333335
1859-08-01,13.217,16.45,8.185416666666667,14.937083333333334
1859-09-01,11.079999999999998,15.589,8.17975,14.91675
1859-10-01,8.834,15.062,8.18175,14.912416666666667
1859-11-01,5.912000000000001,14.094,8.17525,14.909083333333333
1859-12-01,3.365,13.513,8.252,14.929916666666669
1860-01-01,2.077,13.17,8.257166666666667,14.93925
1860-02-01,2.632,13.424,8.258916666666666,14.947083333333333
1860-03-01,3.494,13.714,8.1315,14.914583333333333
1860-04-01,7.76,14.861,8.066333333333333,14.886583333333332
1860-05-01,11.062,15.758,8.0335,14.877416666666667
1860-06-01,13.271999999999998,16.338,8.044333333333332,14.87225
1860-07-01,14.203,16.737000000000002,8.075666666666665,14.892499999999998
1860-08-01,13.765,16.634,8.121333333333332,14.907833333333334
1860-09-01,11.892,16.133,8.189,14.953166666666668
1860-10-01,8.712,15.076,8.178833333333332,14.954333333333333
1860-11-01,5.027,13.922,8.105083333333333,14.94
1860-12-01,1.634,12.828,7.9608333333333325,14.882916666666667
1861-01-01,0.4040000000000004,12.475,7.821416666666667,14.825000000000001
1861-02-01,2.137,12.917000000000002,7.780166666666666,14.78275
1861-03-01,4.489,13.824000000000002,7.863083333333332,14.791916666666667
1861-04-01,7.486999999999999,15.018,7.840333333333334,14.805000000000001
1861-05-01,10.515999999999998,15.489,7.794833333333333,14.782583333333335
1861-06-01,13.017,16.358,7.773583333333332,14.78425
1861-07-01,13.967,16.547,7.753916666666666,14.768416666666667
1861-08-01,13.656,16.715999999999998,7.744833333333333,14.77525
1861-09-01,11.409,15.927,7.704583333333333,14.758083333333332
1861-10-01,8.475,14.905,7.684833333333333,14.743833333333333
1861-11-01,5.707000000000001,14.095,7.741500000000001,14.758249999999999
1861-12-01,2.894,13.337,7.8465,14.800666666666666
1862-01-01,0.685,12.658,7.869916666666666,14.815916666666666
1862-02-01,1.769,13.192,7.83925,14.838833333333334
1862-03-01,4.485,14.044,7.838916666666667,14.857166666666666
1862-04-01,7.322999999999999,14.825,7.82525,14.841083333333332
1862-05-01,10.739,15.708,7.843833333333333,14.859333333333332
1862-06-01,12.86,16.349,7.830750000000001,14.858583333333334
1862-07-01,13.928,16.593,7.8275,14.862416666666666
1862-08-01,13.188,16.305999999999997,7.7885,14.828249999999999
1862-09-01,11.028,15.788,7.75675,14.816666666666668
1862-10-01,8.283,14.902,7.740750000000001,14.816416666666667
1862-11-01,4.792,13.784,7.664499999999999,14.790500000000002
1862-12-01,1.6230000000000002,12.732,7.558583333333334,14.740083333333333
1863-01-01,3.0340000000000003,13.296,7.754333333333334,14.79325
1863-02-01,3.253,13.634,7.878,14.830083333333334
1863-03-01,4.682,14.005999999999998,7.894416666666667,14.826916666666664
1863-04-01,7.930999999999999,15.01,7.945083333333334,14.842333333333334
1863-05-01,11.081,15.823,7.973583333333333,14.851916666666668
1863-06-01,12.794,16.224,7.968083333333333,14.841500000000002
1863-07-01,13.765,16.575,7.9545,14.839999999999998
1863-08-01,13.294,16.437,7.963333333333334,14.850916666666668
1863-09-01,11.23,15.898,7.980166666666666,14.860083333333334
1863-10-01,8.235,14.978,7.976166666666667,14.866416666666668
1863-11-01,5.392,13.992,8.026166666666667,14.88375
1863-12-01,2.651,13.356,8.111833333333333,14.935749999999999
1864-01-01,1.551,12.879,7.98825,14.901000000000002
1864-02-01,2.506,13.275,7.925999999999999,14.871083333333331
1864-03-01,4.651,13.99,7.923416666666665,14.869750000000002
1864-04-01,7.515,14.83,7.888749999999999,14.854750000000001
1864-05-01,10.956,15.851,7.878333333333334,14.857083333333335
1864-06-01,13.365,16.490000000000002,7.925916666666666,14.879249999999999
1864-07-01,14.162,16.715,7.959,14.890916666666667
1864-08-01,13.434,16.494,7.970666666666666,14.895666666666665
1864-09-01,11.37,15.85,7.982333333333333,14.891666666666667
1864-10-01,8.795,14.972,8.029,14.891166666666665
1864-11-01,5.232,14.140999999999998,8.015666666666666,14.903583333333335
1864-12-01,2.266,13.271,7.983583333333333,14.896500000000001
1865-01-01,2.975,13.503,8.10225,14.948500000000001
1865-02-01,2.152,13.505999999999998,8.072750000000001,14.96775
1865-03-01,4.039,13.914,8.021749999999999,14.961416666666667
1865-04-01,7.313999999999999,14.861,8.005,14.963999999999999
1865-05-01,10.917,15.755999999999998,8.00175,14.956083333333332
1865-06-01,13.214,16.414,7.989166666666667,14.949750000000002
1865-07-01,14.22,16.749000000000002,7.994,14.952583333333335
1865-08-01,13.58,16.657,8.006166666666667,14.966166666666668
1865-09-01,11.797,16.082,8.041749999999999,14.9855
1865-10-01,9.136,15.157,8.070166666666667,15.000916666666669
1865-11-01,6.144,14.101,8.146166666666666,14.997583333333333
1865-12-01,2.6460000000000004,13.26,8.177833333333334,14.996666666666668
1866-01-01,2.932,13.467,8.174249999999999,14.993666666666664
1866-02-01,2.274,13.586,8.184416666666666,15.000333333333336
1866-03-01,4.421,13.95,8.21625,15.003333333333332
1866-04-01,7.914,14.713,8.26625,14.991000000000001
1866-05-01,10.898,15.63,8.264666666666667,14.980500000000001
1866-06-01,12.853,16.596,8.234583333333333,14.995666666666667
1866-07-01,14.602,17.06,8.266416666666666,15.021583333333334
1866-08-01,13.532,16.695,8.262416666666667,15.02475
1866-09-01,11.527,15.918,8.239916666666668,15.011083333333332
1866-10-01,8.506,15.062,8.187416666666666,15.003166666666667
1866-11-01,5.8950000000000005,14.275,8.166666666666666,15.017666666666665
1866-12-01,4.152,13.732,8.292166666666667,15.057
1867-01-01,2.482,13.371,8.254666666666667,15.049000000000001
1867-02-01,2.664,13.458,8.287166666666666,15.038333333333334
1867-03-01,4.4540000000000015,14.073,8.289916666666667,15.048583333333333
1867-04-01,8.258,15.1,8.318583333333335,15.080833333333333
1867-05-01,10.495,15.56,8.285,15.074999999999998
1867-06-01,13.303,16.366,8.3225,15.055833333333332
1867-07-01,14.223,16.672,8.290916666666666,15.0235
1867-08-01,13.505999999999998,16.454,8.28875,15.003416666666666
1867-09-01,11.763,16.147000000000002,8.308416666666666,15.022499999999999
1867-10-01,9.212,15.318,8.36725,15.043833333333334
1867-11-01,6.939,14.632,8.45425,15.073583333333334
1867-12-01,3.937,13.553,8.436333333333334,15.058666666666667
1868-01-01,1.834,13.012,8.382333333333333,15.02875
1868-02-01,2.039,13.295,8.330250000000001,15.015166666666666
